gw,lc,ld,ang
FALSE,aa,ltr,Afar
FALSE,aaa,ltr,Ghotuo
FALSE,aab,ltr,Alumu-Tesu
FALSE,aac,ltr,Ari
FALSE,aac-x-siraul,ltr,Siraul
FALSE,aad,ltr,Amal
FALSE,aae,ltr,"Albanian, Arbëreshë"
FALSE,aaf,ltr,Aranadan
FALSE,aag,ltr,Ambrak
FALSE,aah,ltr,"Arapesh, Abu’"
FALSE,aai,ltr,Miniafia Oyan
FALSE,aak,ltr,Ankave
FALSE,aal,ltr,Afade
FALSE,aan,ltr,Anambé
FALSE,aao,rtl,"Arabic, Algerian Saharan Spoken"
FALSE,aap,ltr,"Arára, Pará"
FALSE,aaq,ltr,"Abenaki, Eastern"
FALSE,aas,ltr,Aasáx
FALSE,aat,ltr,"Albanian, Arvanitika"
FALSE,aau,ltr,Abau
FALSE,aaw,ltr,Solong
FALSE,aax,ltr,Mandobo Atas
FALSE,aaz,ltr,Amarasi
FALSE,ab,ltr,Abkhaz
FALSE,aba,ltr,Abé
FALSE,abb,ltr,Bankon
FALSE,abc,ltr,"Ayta, Ambala"
FALSE,abd,ltr,Manide
FALSE,abe,ltr,"Abenaki, Western"
FALSE,abf,ltr,Abai Sungai
FALSE,abg,ltr,Abaga
FALSE,abh,rtl,"Arabic, Tajiki Spoken"
FALSE,abi,ltr,Abidji
FALSE,abl,ltr,Lampung Nyo
FALSE,abm,ltr,Abanyom
FALSE,abn,ltr,Abua
FALSE,abo,ltr,Abon
FALSE,abp,ltr,"Ayta, Abellen"
FALSE,abq,ltr,Abaza
FALSE,abr,ltr,Abron
FALSE,abs,ltr,"Malay, Ambonese"
FALSE,abt,ltr,Ambulas
FALSE,abu,ltr,Abure
FALSE,abv,rtl,"Arabic, Baharna Spoken"
FALSE,abw,ltr,Pal
FALSE,abx,ltr,Inabaknon
FALSE,aby,ltr,Aneme Wake
FALSE,abz,ltr,Abui
FALSE,aca,ltr,Achagua
FALSE,acb,ltr,Áncá
FALSE,acd,ltr,Gikyode
FALSE,ace,ltr,Aceh
FALSE,acf,ltr,Lesser Antillean French Creole
FALSE,ach,ltr,Acholi
FALSE,acm,rtl,"Arabic, Mesopotamian Spoken"
FALSE,acm-x-baghdadi,rtl,
FALSE,acm-x-lebarabic,rtl,
FALSE,acn,ltr,Achang
FALSE,acp,ltr,"Acipa, Eastern"
FALSE,acq,rtl,"Arabic, Ta’izzi-Adeni Spoken"
FALSE,acr,ltr,Achi
FALSE,act,ltr,Achterhoeks
FALSE,acu,ltr,Achuar-Shiwiar
FALSE,acv,ltr,Achumawi
FALSE,acw,rtl,"Arabic, Hijazi Spoken"
FALSE,acx,rtl,"Arabic, Omani Spoken"
FALSE,acy,rtl,"Arabic, Cypriot Spoken"
FALSE,acz,ltr,Acheron
FALSE,ada,ltr,Dangme
FALSE,adb,ltr,Adabe
FALSE,add,ltr,Dzodinka
FALSE,ade,ltr,Adele
FALSE,adf,rtl,"Arabic, Dhofari Spoken"
FALSE,adg,ltr,Andegerebinha
FALSE,adh,ltr,Adhola
FALSE,adi,ltr,Adi
FALSE,adi-x-adikarna,ltr,
FALSE,adi-x-bokar,ltr,
FALSE,adi-x-libo,ltr,
FALSE,adi-x-ramo,ltr,
FALSE,adi-x-zadiboli,ltr,
FALSE,adj,ltr,Adioukrou
FALSE,adl,ltr,"Adi, Galo"
FALSE,adn,ltr,Adang
FALSE,ado,ltr,Abu
FALSE,adq,ltr,Adangbe
FALSE,adr,ltr,Adonara
FALSE,adr-x-waiwerang,ltr,Waiwerang
FALSE,ads,ltr,Adamorobe Sign Language
FALSE,adt,ltr,Adnyamathanha
FALSE,adu,ltr,Aduge
FALSE,adw,ltr,Amundava
FALSE,adx,ltr,"Tibetan, Amdo"
FALSE,ady,ltr,Adyghe
FALSE,ady-x-syriadyghe,ltr,Adyghe
FALSE,adz,ltr,Adzera
FALSE,aeb,rtl,"Arabic, Tunisian Spoken"
FALSE,aec,rtl,"Arabic, Sa’idi Spoken"
FALSE,aed,ltr,Argentine Sign Language
FALSE,aee,ltr,"Pashai, Northeast"
FALSE,aek,ltr,Haeke
FALSE,ael,ltr,Ambele
FALSE,aem,ltr,Arem
FALSE,aen,ltr,Armenian Sign Language
FALSE,aeq,ltr,Aer
FALSE,aer,ltr,"Arrernte, Eastern"
FALSE,aes,ltr,Alsea
FALSE,aeu,ltr,Akeu
FALSE,aew,ltr,Ambakich
FALSE,aey,ltr,Amele
FALSE,aey-x-efu,ltr,Efu
FALSE,aey-x-elien,ltr,Elien
FALSE,aey-x-eranu,ltr,Eranu
FALSE,aey-x-haya,ltr,
FALSE,aey-x-huar,ltr,
FALSE,aey-x-jagalaha,ltr,Jagahala
FALSE,aey-x-midwagi,ltr,Mid Wagi
FALSE,aey-x-ohu,ltr,Ohu
FALSE,aez,ltr,Aeka
FALSE,aez-x-sauga,ltr,Sauga
FALSE,af,ltr,Afrikaans
FALSE,afb,rtl,"Arabic, Gulf Spoken"
FALSE,afd,ltr,Andai
FALSE,afe,ltr,Utugwang-Irungene-Afrike
FALSE,afg,ltr,Afghan Sign Language
FALSE,afh,ltr,
FALSE,afi,ltr,Chini
FALSE,afk,ltr,Nanubae
FALSE,afn,ltr,Defaka
FALSE,afo,ltr,Eloyi
FALSE,afp,ltr,Tapei
FALSE,afs,ltr,Afro-Seminole Creole
FALSE,aft,ltr,Afitti
FALSE,afu,ltr,Awutu
FALSE,afz,ltr,Obokuitai
FALSE,aga,ltr,Aguano
FALSE,agb,ltr,Legbo
FALSE,agc,ltr,Agatu
FALSE,agd,ltr,Agarabi
FALSE,agd-x-agarabibus,ltr,Agarabi Bus
FALSE,agd-x-agarabkain,ltr,Agarabi Kainantu
FALSE,agd-x-agarabyonk,ltr,Agarabi Yonki
FALSE,agd-x-kona,ltr,Agarabi Kona
FALSE,agd-x-name,ltr,Agarabi Name
FALSE,agd-x-namel,ltr,Agarabi Namel
FALSE,age,ltr,Angal
FALSE,agf,ltr,Arguni
FALSE,agg,ltr,Angor
FALSE,agh,ltr,Ngelima
FALSE,agh-x-balema,ltr,Balema
FALSE,agi,ltr,Agariya
FALSE,agj,ltr,Argobba
FALSE,agk,ltr,"Agta, Isarog"
FALSE,agl,ltr,Fembe
FALSE,agm,ltr,Angaataha
FALSE,agn,ltr,Agutaynen
FALSE,ago,ltr,Tainae
FALSE,agq,ltr,Aghem
FALSE,agr,ltr,Aguaruna
FALSE,ags,ltr,Esimbi
FALSE,agt,ltr,"Agta, Central Cagayan"
FALSE,agu,ltr,Awakateko
FALSE,agv,ltr,"Dumagat, Remontado"
FALSE,agw,ltr,Kahua
FALSE,agx,ltr,Aghul
FALSE,agy,ltr,"Alta, Southern"
FALSE,agz,ltr,"Agta, Mt. Iriga"
FALSE,aha,ltr,Ahanta
FALSE,ahb,ltr,Axamb
FALSE,ahg,ltr,Qimant
FALSE,ahh,ltr,Aghu
FALSE,ahi,ltr,"Aizi, Tiagbamrin"
FALSE,ahk,ltr,Akha
FALSE,ahl,ltr,Igo
FALSE,ahm,ltr,"Aizi, Mobumrin"
FALSE,ahn,ltr,Àhàn
FALSE,aho,ltr,Ahom
FALSE,ahp,ltr,"Aizi, Aproumu"
FALSE,ahr,ltr,Ahirani
FALSE,ahs,ltr,Ashe
FALSE,aht,ltr,Ahtena
FALSE,aia,ltr,Arosi
FALSE,aib,ltr,Ainu
